Does Git store diffs or snapshots? Why does it matter?	<b>Model answer:</b> Git stores <b>full snapshots</b> per commit, with unchanged files pointing to the same blob (so it's not wasteful). Conceptually each commit is a complete tree; physically, packfiles add delta compression. This makes branch/checkout/diff between <i>any</i> two commits fast and uniform, and it's why merging is cheaper than in delta-based systems where you'd replay a chain of changes. Most older systems (SVN/CVS) store a base plus per-file deltas, so reconstructing an old state means replaying changes.<br><br><b>Follow-ups:</b><br>• <i>How does it avoid storing duplicate content?</i> → Content addressing: identical bytes hash to the same blob, stored once; packfiles further delta-compress similar objects.<br>• <i>Then what are packfiles?</i> → A storage optimization (<code>git gc</code>) that packs loose objects and delta-compresses similar ones; the logical model stays "snapshots."	InterviewPrep::Git_and_Dev_Workflow
Walk me through the four Git object types and how a commit hash is formed.	<b>Model answer:</b> <b>Blob</b> = file contents (no name). <b>Tree</b> = a directory listing mapping names+modes to blobs/subtrees. <b>Commit</b> = a pointer to one root tree + parent commit(s) + author/committer/message. <b>Tag</b> = a named (optionally signed) pointer. A commit's hash is <code>SHA-1("commit <len>\0" + commit-text)</code>, and the commit text <i>includes the tree hash and the parent hash</i>. Because the parent's hash is baked in, changing any ancestor changes that commit's hash and cascades to all descendants — that's the tamper-evidence and why the same diff at a different parent yields a different commit.<br><br><b>Follow-ups:</b><br>• <i>Where does a filename live?</i> → In the tree entry, not the blob — so a pure rename reuses the blob.<br>• <i>SHA-1 is broken — is Git insecure?</i> → Git uses collision-detecting SHA-1 and supports SHA-256 repos; the hash is for integrity/dedup, not an authenticity guarantee — that's what signing is for.	InterviewPrep::Git_and_Dev_Workflow
Explain rebase vs merge and when you'd use each.	<b>Model answer:</b> Merge integrates by creating a <b>merge commit</b> with two parents — it preserves true history and never rewrites commits. Rebase <b>replays</b> your commits onto a new base, creating <i>new commits with new hashes</i> for a <b>linear</b> history. I rebase my <i>local</i> feature branch to keep it clean and easy to review/bisect, and to incorporate the latest <code>main</code> without a merge bubble. I <b>merge</b> to integrate shared branches and to preserve "these commits were one feature." The hard rule: never rebase commits already pushed/shared, because rewriting their hashes breaks anyone who built on the originals.<br><br><b>Follow-ups:</b><br>• <i>Why exactly does rebasing shared history break people?</i> → It replaces <code>C,D</code> with <code>C',D'</code>; teammates who based work on <code>C,D</code> now diverge — duplicate commits, messy merges, and a force-push can clobber work.<br>• <i><code>git pull</code> default?</i> → fetch+merge; I prefer <code>pull --rebase</code> to avoid noise merge commits on local-only work.	InterviewPrep::Git_and_Dev_Workflow
`reset --soft` vs `--mixed` vs `--hard`?	<b>Model answer:</b> All move the branch pointer to a target commit; they differ in how far they reset. <code>--soft</code> moves HEAD only, leaving the undone changes <b>staged</b> (good for re-doing/combining the last N commits). <code>--mixed</code> (default) also resets the index, leaving changes as <b>unstaged</b> edits. <code>--hard</code> also resets the working dir — <b>destroying</b> uncommitted changes. <code>--soft</code>/<code>--mixed</code> are safe; <code>--hard</code> can lose uncommitted work permanently (reflog recovers commits, not never-committed edits).<br><br><b>Follow-ups:</b><br>• <i>Undo the last 3 commits but keep all the code to recommit as one?</i> → <code>git reset --soft HEAD~3</code> then commit.<br>• <i>You hard-reset and lost commits — recover?</i> → <code>git reflog</code> → <code>git reset --hard <pre-reset-sha></code>.	InterviewPrep::Git_and_Dev_Workflow
How do you undo a commit that's already been pushed to a shared branch?	<b>Model answer:</b> Use <code>git revert <sha></code>, which creates a <i>new</i> commit applying the inverse diff, then push normally. It moves history forward and doesn't rewrite shared commits, so no one is disrupted and no force-push is needed. <code>reset</code> + force-push would rewrite shared history and break collaborators. For a merge commit, <code>git revert -m 1 <merge-sha></code> to keep the mainline parent.<br><br><b>Follow-ups:</b><br>• <i>Later you want the change back?</i> → Revert the revert, or cherry-pick the original.<br>• <i>When is <code>reset</code> acceptable then?</i> → Only on local, unpushed commits nobody depends on.	InterviewPrep::Git_and_Dev_Workflow
A bug appeared "sometime in the last 200 commits." How do you find it fast?	<b>Model answer:</b> <code>git bisect</code> — a binary search over the commit range. Mark a known-good commit and the current bad one; Git checks out the midpoint, I test it and mark good/bad, and it halves the range each step — ~8 tests for 200 commits instead of 200. I'd automate it with <code>git bisect run <test-script></code> (exit 0 = good, non-zero = bad, 125 = skip) so Git finds the first bad commit unattended. The output is the exact offending commit and its diff.<br><br><b>Follow-ups:</b><br>• <i>What makes bisect work well?</i> → Small, individually-building commits; if a commit doesn't build, mark it <code>skip</code> (exit 125).<br>• <i>Complexity?</i> → O(log n) tests.	InterviewPrep::Git_and_Dev_Workflow
How do you take a single fix from `main` onto a release branch?	<b>Model answer:</b> <code>git cherry-pick <fix-sha></code> while on the release branch — it applies just that commit's diff as a new commit, without dragging in unrelated changes. I'd use <code>-x</code> to record the original SHA in the message for traceability, then tag a patch release. It's the standard backport mechanism. Caveat: it creates a duplicate commit (different hash), so I avoid using cherry-pick as a substitute for actually merging long-running branches.<br><br><b>Follow-ups:</b><br>• <i>Range of commits?</i> → <code>git cherry-pick A^..B</code>.<br>• <i>Conflict during pick?</i> → resolve, <code>git add</code>, <code>git cherry-pick --continue</code> (or <code>--abort</code>).	InterviewPrep::Git_and_Dev_Workflow
Explain the 3-way merge and why conflicts happen.	<b>Model answer:</b> Git finds the <b>merge base</b> (nearest common ancestor) and compares three versions of each file: base, ours, theirs. If only one side changed a region, Git takes that change automatically; if <i>both</i> sides changed the <i>same</i> region relative to the base, Git can't safely choose, so it marks a <b>conflict</b> with <code><<<< ==== >>>></code> markers and asks me to resolve. The base is what makes auto-merge possible — a plain two-way diff can't tell which side made a change. The default strategy is <b>ort</b> (a faster, more correct successor to recursive), which handles multiple common ancestors by recursively merging them into one virtual base.<br><br><b>Follow-ups:</b><br>• <i>Make conflicts easier?</i> → <code>merge.conflictstyle=zdiff3</code> (shows the base) and <code>rerere.enabled</code> (reuse past resolutions).<br>• <i>Take one whole side per file?</i> → <code>git checkout --ours/--theirs <file></code> then <code>git add</code>.	InterviewPrep::Git_and_Dev_Workflow
You committed a secret (API key) and pushed it. What now?	<b>Model answer:</b> First, <b>rotate the credential immediately</b> — once pushed, treat it as compromised; scrubbing alone is not enough. Then remove it from <i>all</i> history with <code>git filter-repo --path <file> --invert-paths</code> (or BFG), expire reflogs and GC, and force-push with team coordination since this rewrites every subsequent hash and everyone must re-clone. Finally, add the file to <code>.gitignore</code> and add a <code>pre-commit</code>/CI secret scanner so it can't recur. Order matters: rotate → scrub → re-clone.<br><br><b>Follow-ups:</b><br>• <i>Why isn't a "delete the file" commit enough?</i> → The secret still lives in history and in the remote; anyone can check out the old commit.<br>• <i>filter-repo vs filter-branch?</i> → filter-branch is slow and deprecated/error-prone; filter-repo (or BFG) is the recommended tool.	InterviewPrep::Git_and_Dev_Workflow
What does "a branch is just a pointer" mean, and what's a detached HEAD?	<b>Model answer:</b> A branch is a 41-byte file under <code>.git/refs/heads/</code> holding one commit hash — creating a branch writes that file (O(1)). HEAD is normally a symbolic ref to the current branch; committing appends a commit and advances that branch pointer. A <b>detached HEAD</b> is when HEAD points <i>directly</i> at a commit instead of a branch (e.g., after <code>git checkout <sha></code>). Commits made there aren't tracked by any branch, so they're easy to lose — the fix is to attach a branch (<code>git switch -c name</code>) before leaving, or recover via reflog afterward.<br><br><b>Follow-ups:</b><br>• <i>When do you intentionally detach?</i> → To inspect/build an old commit, or in CI checking out a specific SHA.<br>• <i>Recover commits made while detached?</i> → <code>git reflog</code> → <code>git switch -c rescue <sha></code>.	InterviewPrep::Git_and_Dev_Workflow
